States,StateNo.,Year,MMR,Medical,Non.Medical,Any.Exemption,Pop,MedAge,P_White,P_HS,P_BS,MedInc,P_UnInsured,P_Mar,P_BelPov,PerCapHealth,P_ChilNoIns,P_NoCov,P_PrivIns,P_NoPrev,P_LivRur,AveLagMMR,LagMMR11,LagMMR12,LagMMR13,LagMMR14,LagMMR15,LagMed11,LagMed12,LagMed13,LagMed14,LagMed15,LagNMed11,LagNMed12,LagNMed13,LagNMed14,LagNMed15
Alabama,1,2011,93.6,0.1,0.5,0.6,4841164,38.6,68.68,84.8,24,44758,11.6,47.9,14,7281,4.1,9.2,50.7,16.6,28.6,93.00,93.6,92.8,92,93.5,93.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.6,0.7,0.7
Alaska,2,2011,NA,1.3,5.7,7,736855,33.6,65.62,92.3,28.8,74444,16.9,48.3,7,11064,5.8,11.8,60.5,22.9,33,93.53,NA,NA,94.4,92.7,93.5,1.3,1.6,1.2,1.3,1.2,5.7,4,4.1,4.5,4.7
Arizona,3,2011,94.7,0.3,3.5,3.7,6728577,37.1,77.8,86.2,28,51340,13.6,47.2,12.9,6452,11.7,19.5,53.2,18.6,14.3,94.30,94.7,94.5,93.9,94.2,94.2,0.3,0.3,0.2,0.1,0.2,3.5,3.9,4.7,4.6,4.5
Arkansas,4,2011,94.9,0.1,0.8,0.9,2968472,37.7,77.72,85.2,21.5,42336,12.3,50.1,13.8,7408,4.6,10.8,43.6,20.8,39.8,89.30,94.9,85.9,86.5,88.4,90.8,0.1,0.1,0.1,0.1,0.1,0.8,1,1.1,1.2,1.2
California,5,2011,93.2,0.2,2.4,2.6,38654206,36,61.26,82.1,32,63783,12.6,46.6,11.8,7549,6.3,12.9,54.1,19.4,6.8,93.06,93.2,92.7,92.3,92.6,94.5,0.2,0.2,0.2,0.2,0.2,2.4,2.8,3.1,2.5,2.4
Colorado,6,2011,86.8,NA,NA,5.6,5359295,36.4,84.28,91,38.7,62520,10.9,50.8,8.1,6804,7.6,13.5,65.9,15.2,13.5,85.64,86.8,85.7,81.7,86.9,87.1,NA,0.3,0.1,0.1,0.1,NA,4,4.6,5.4,4.3
Connecticut,7,2011,97.4,0.3,1,1.3,3588570,40.6,77.14,90.1,38,71755,7.1,47.9,7.3,9859,2.6,6.3,65.1,9.7,4.2,97.08,97.4,97.1,96.9,97,97,0.3,0.3,0.3,0.3,0.3,1,1.4,1.6,1.6,1.7
Delaware,8,2011,96.9,0.2,0.4,0.6,934695,39.6,69.22,88.8,30.5,61017,7.5,47.4,8.2,10254,3.6,10.3,61.3,11.4,19.8,96.88,96.9,95.7,96.4,97.8,97.6,0.2,0.2,0.1,0.4,0.1,0.4,0.5,0.7,0.9,1.1
District of Columbia,9,2011,NA,1.3,0.8,2.1,659009,33.8,40.37,90,55.4,72935,5.2,28.2,14.1,11944,1.3,5.8,46.8,10.2,0,89.20,NA,NA,NA,89.9,88.5,1.3,1.3,1.1,0.6,0.5,0.8,0.3,0.4,0.5,0.4
Florida,10,2011,92.6,0.3,1.2,1.5,19934451,41.6,75.9,87.2,27.9,48900,16.4,46.2,11.7,8076,9.5,17.6,52,17.4,5.8,92.98,92.6,92.1,93.2,93.3,93.7,0.3,0.4,0.3,0.3,0.3,1.2,1.4,1.7,1.8,1.9
